866	138	0	6	0
858	696	0	6	0
617	147	0	6	0
481	1951	8	2	3
890	690	6	2	26
221	704	0	2	1
684	477	9	1	12
684	1002	0	6	0
859	554	0	3	1
746	777	5	2	10
915	329	0	2	26
440	264	9	2	1
201	1639	1	2	1
950	267	7	2	26
446	207	7	2	13
887	207	5	2	13
694	1168	9	2	10
127	1575	9	2	25
230	1535	0	2	37
680	1889	0	6	0
426	1735	5	6	8
943	459	8	2	1
426	1172	0	6	0
133	1250	8	2	26
850	174	0	6	0
522	1172	10	2	26
876	53	6	2	24
198	416	6	2	1
675	1726	6	2	12
128	102	7	2	26
336	382	3	2	4
147	1579	8	2	25
902	1138	6	2	52
928	1498	7	2	12
28	464	7	2	1
707	918	0	3	4
604	437	10	2	1
450	1611	1	2	1
797	525	5	3	4
923	269	7	4	318
886	405	5	2	1
831	1530	0	6	0
247	900	7	2	1
807	19	0	2	74
83	1840	7	2	12
894	849	0	6	4
479	530	7	2	46
746	121	0	6	0
246	899	9	2	1
851	338	9	2	40
147	1723	9	2	1
330	1	8	2	26
211	1471	10	2	63
267	174	0	6	0
597	20	10	1	201
602	861	0	6	0
446	339	6	2	13
687	813	10	2	291
794	24	0	6	0
363	121	9	2	51
522	1723	6	2	1
285	30	0	6	0
403	250	7	4	150
65	270	0	6	0
386	114	0	3	10
491	1575	10	1	16
113	339	0	6	0
248	691	0	6	0
308	1824	0	2	1
23	5	8	2	1
956	79	6	2	24
446	1564	0	2	192
533	807	0	6	0
393	594	0	2	1
681	170	0	6	0
438	1576	0	6	0
174	1589	0	6	0
524	21	6	4	70
864	751	0	6	0
518	763	10	2	67
174	1379	6	2	1
230	431	0	2	1
647	372	9	2	1
686	27	0	2	24
273	687	0	6	0
699	437	8	2	1
742	877	0	6	0
94	1303	8	2	9
984	487	0	4	0
793	1836	2	2	12
944	1555	0	2	25
94	1952	0	6	0
734	466	0	2	1
886	762	6	2	1
101	1575	0	6	0
549	1946	6	2	50
274	741	0	6	0
932	21	9	1	920
915	750	0	2	12
577	1026	6	2	2
367	1338	0	2	2
145	291	0	6	0
222	487	7	2	13
917	1253	0	6	0
989	335	0	6	0
981	339	9	2	13
378	532	0	2	38
296	586	7	2	11
478	426	5	2	4
723	916	0	2	13
620	435	7	2	20
981	879	0	6	0
577	1689	9	2	3
530	1594	0	6	0
481	395	3	4	4
957	564	0	6	0
564	19	0	6	0
389	759	9	2	1
229	1225	8	2	3
60	594	0	2	1
480	1575	9	2	25
931	73	0	6	0
278	355	7	2	24
966	1594	0	6	0
637	986	0	2	1
714	405	6	2	1
724	356	8	2	24
128	354	7	2	12
491	1562	0	3	25
819	849	7	2	14
235	339	0	6	0
890	50	8	2	24
436	941	0	6	0
995	486	8	2	13
108	1210	0	3	1
326	543	8	2	1
289	1050	0	6	0
719	481	9	2	224
362	1410	7	2	13
731	513	0	6	0
53	169	6	2	12
42	841	0	6	0
680	199	10	2	1
719	154	7	1	11
974	1889	0	6	0
84	226	9	2	13
78	170	9	2	101
694	195	9	2	12
418	43	7	2	1
6	1889	10	2	24
890	405	4	2	1
363	1289	7	2	16
446	240	8	2	12
156	565	6	2	1
969	67	0	1	0
427	68	7	2	23
780	376	0	6	0
165	849	5	2	14
689	486	10	2	13
744	451	7	2	1
362	257	7	2	13
399	1887	9	2	24
264	1195	9	2	13
857	857	8	2	25
438	202	0	6	0
680	457	0	6	0
901	135	0	6	0
792	437	9	2	1
401	530	6	2	46
365	437	7	2	1
363	759	8	2	1
273	1281	0	4	5
498	1571	9	2	25
389	1051	4	2	4
125	205	10	2	26
847	46	0	6	0
780	1965	0	6	0
728	1210	8	2	24
5	488	0	6	0
824	392	10	2	112
389	237	6	2	50
493	43	8	2	1
280	197	0	6	0
781	524	4	2	1
660	263	0	3	2
19	690	0	4	0
731	306	0	6	0
631	1379	9	2	1
933	1364	6	2	1
853	1209	8	2	1
912	1468	0	2	1
519	857	0	6	0
611	1119	0	2	1
890	1345	5	2	1
127	889	0	3	0
6	205	0	6	0
713	687	0	6	0
226	1735	9	2	500
904	134	0	6	0
316	121	9	2	51
890	469	3	2	24
205	250	9	2	150
198	124	7	2	4
193	477	0	6	0
494	1575	10	2	25
899	1118	8	2	1
439	61	9	2	26
709	478	7	2	26
172	1722	6	2	26
927	1889	8	2	24
342	1206	0	6	0
134	558	7	2	26
891	1535	10	2	37
17	777	0	2	10
607	530	6	2	46
538	993	0	6	0
322	1689	0	6	0
420	1829	0	2	1
936	1	8	2	26
760	185	8	2	26
219	338	0	3	2
122	268	7	2	6
748	306	0	2	13
779	459	7	2	1
792	732	0	6	0
436	1561	0	6	0
902	199	10	2	1
4	1142	9	2	12
367	1681	0	2	1
248	106	0	6	1
890	1287	8	2	1
612	75	0	2	25
781	863	1	2	12
853	1257	10	2	13
240	192	0	6	0
902	1594	0	6	0
864	207	6	2	13
728	26	7	2	22
1000	30	0	6	0
585	1735	0	4	0
390	1293	0	6	0
836	427	0	4	20
6	31	0	6	0
938	849	0	4	1
558	486	0	6	0
634	263	10	2	75
274	134	0	6	0
153	1735	10	1	377
912	874	6	2	51
484	1691	10	2	24
610	44	9	2	4
44	120	6	2	26
817	874	9	2	51
535	355	0	6	0
714	940	0	1	5
662	226	7	2	13
275	30	0	6	0
943	1565	8	2	191
517	314	0	6	0
536	1738	6	4	4
367	246	0	3	5
426	974	7	2	1
1000	150	0	6	0
912	1699	0	6	0
101	512	10	2	1
585	174	6	2	24
90	22	0	6	0
108	527	0	2	276
577	497	8	2	13
273	849	0	6	0
906	227	7	2	6
41	1281	4	2	19
932	918	0	6	0
297	430	8	2	1
60	230	0	6	0
241	33	0	6	0
719	317	5	2	1
299	1836	0	6	0
998	1694	0	6	0
709	934	0	4	6
985	472	0	6	0
225	579	4	2	15
912	617	0	6	0
846	1090	7	2	1
709	132	8	4	28
274	64	0	6	0
265	440	0	6	0
524	569	7	2	26
890	761	5	2	1
894	1210	9	2	24
695	1530	8	2	24
785	483	0	6	0
332	1818	6	2	26
792	589	0	6	0
869	1088	0	2	36
823	228	0	6	0
